Time (s),Torque (Nm)
6.274,0.700
6.285,1.506
6.295,0.498
6.306,0.498
6.316,-0.307
6.327,-1.113
6.338,0.700
6.349,-0.509
6.359,-1.113
6.369,0.700
6.380,-0.710
6.390,-0.912
6.402,0.700
6.412,-0.307
6.423,-0.509
6.433,1.103
6.443,-1.919
6.454,-1.718
6.464,0.096
6.475,0.498
6.486,1.103
6.498,-0.710
6.507,-1.718
6.517,-0.710
6.528,0.096
6.538,0.901
6.550,0.498
6.559,-1.516
6.571,-0.912
6.581,0.096
6.591,-0.912
6.602,-0.106
6.612,0.498
6.623,-0.307
6.634,-0.106
6.644,-0.307
6.655,-0.307
6.665,-1.113
6.676,0.901
6.686,1.707
6.697,1.103
6.712,0.901
6.718,1.909
6.728,0.498
6.739,0.901
6.749,1.304
6.760,0.096
6.771,-1.516
6.782,-0.509
6.792,0.096
6.802,0.498
6.813,1.304
6.823,0.297
6.834,0.901
6.845,-0.912
6.856,-1.315
6.866,-1.919
6.876,-1.919
6.888,-0.710
6.898,-0.509
6.908,-0.307
6.919,-0.710
6.929,0.901
6.940,-2.120
6.950,0.297
6.961,-1.113
6.971,-0.106
6.982,-0.307
6.993,-0.912
7.004,0.096
7.014,-0.912
7.024,-0.509
7.035,-0.307
7.045,-0.106
7.056,-1.516
7.066,-1.516
7.077,-0.509
7.088,0.297
7.098,-0.106
7.109,-0.106
7.119,0.498
7.130,0.498
7.140,0.700
7.151,1.506
7.161,-0.106
7.173,-0.106
7.183,-1.718
7.193,-0.106
7.204,-0.106
7.215,0.498
7.226,0.096
7.235,1.506
7.246,0.297
7.257,-1.113
7.267,0.901
7.278,-1.516
7.289,-0.307
7.299,-1.315
7.309,0.498
7.320,1.707
7.331,-1.315
7.342,-0.307
7.352,-0.509
7.364,-0.509
7.373,-1.315
7.384,-0.509
7.395,-1.516
7.406,-2.322
7.416,0.297
7.426,-1.113
7.436,0.901
7.447,1.103
7.458,0.700
7.468,-0.912
7.479,-0.106
7.491,-0.106
7.500,0.297
7.511,-0.307
7.521,0.498
7.531,-0.509
7.542,0.297
7.553,0.901
7.563,0.498
7.574,0.096
7.585,1.103
7.595,-1.315
7.606,-1.315
7.616,-0.106
7.627,-2.120
7.637,2.714
7.647,0.498
7.658,0.901
7.669,0.700
7.679,0.700
7.690,0.498
7.700,1.304
7.711,0.096
7.721,0.901
7.732,1.103
7.742,0.498
7.753,1.707
7.764,0.901
7.774,0.700
7.785,1.103
7.795,0.096
7.806,0.297
7.816,0.901
7.827,0.096
7.838,0.901
7.848,1.103
7.859,0.297
7.869,1.707
7.880,-0.710
7.891,-0.509
7.902,0.096
7.914,-1.113
7.922,0.096
7.933,0.901
7.943,0.096
7.954,-1.315
7.964,0.297
7.975,-0.710
7.985,1.707
7.999,0.498
8.006,-0.912
8.017,1.304
8.028,-0.307
8.038,0.700
8.049,1.103
8.059,0.498
8.070,0.700
8.080,-0.106
8.091,0.700
8.101,1.506
8.112,0.297
8.123,0.297
8.134,0.901
8.144,0.096
8.154,1.103
8.165,-0.710
8.176,0.297
8.187,0.700
8.197,-0.307
8.207,0.498
8.218,1.304
8.228,-0.710
8.239,0.297
8.249,0.297
8.260,0.096
8.270,1.304
8.281,-0.509
8.292,0.096
8.302,1.506
8.313,0.498
8.323,0.498
8.334,1.103
8.344,-0.106
8.355,0.297
8.366,-1.315
8.376,0.700
8.386,1.707
8.397,0.700
8.408,0.498
8.418,0.297
8.429,0.096
8.439,0.498
8.450,1.103
8.460,0.096
8.471,1.103
8.482,1.103
8.492,0.498
8.503,1.707
8.513,1.103
8.524,0.498
8.534,1.304
8.545,-0.106
8.555,0.498
8.566,1.103
8.577,0.297
8.587,1.707
8.598,0.901
8.608,0.700
8.619,1.506
8.629,0.297
8.640,0.498
8.651,1.103
8.661,-0.307
8.672,0.700
8.682,1.103
8.693,-1.113
8.704,-0.106
8.715,-0.106
8.725,-0.106
8.736,-0.509
8.746,-0.307
8.757,-0.912
8.767,-0.106
8.778,-1.113
8.788,-0.106
8.799,-0.509
8.810,-0.307
8.820,0.096
8.831,-0.106
8.841,-0.509
8.852,-0.307
8.862,-1.919
8.873,-0.710
8.884,0.297
8.894,-1.315
8.905,0.498
8.915,-0.509
8.926,-0.509
8.936,1.909
8.947,-0.710
8.958,-0.307
8.968,0.297
8.979,-1.516
8.989,0.096
9.000,-0.912
9.010,-1.516
9.021,-0.509
9.031,-1.315
9.042,1.103
9.052,1.304
9.063,-1.113
9.074,-0.912
9.084,0.297
9.095,-1.516
9.105,0.901
9.116,1.304
9.126,-1.919
9.137,0.297
9.148,-0.307
9.158,0.901
9.169,1.304
9.179,-1.113
9.190,0.498
9.200,1.103
9.211,0.096
9.221,1.304
9.232,-0.710
9.242,0.498
